X,survey_name,scale_name,scored_scale,pID,score,n_items,n_missing,method,measure,score_std
23,LP2 well-being prediction,PWB,autonomy,WBP023,5.66666666666667,3,0,mean,PWB autonomy,0.718633745370712
24,LP2 well-being prediction,PWB,autonomy,WBP024,4.33333333333333,6,0,mean,PWB autonomy,-0.411301752355031
25,LP2 well-being prediction,PWB,autonomy,WBP025,5,3,0,mean,PWB autonomy,0.153665996507841
26,LP2 well-being prediction,PWB,autonomy,WBP026,4,3,0,mean,PWB autonomy,-0.693785626786462
27,LP2 well-being prediction,PWB,autonomy,WBP027,5.33333333333333,3,0,mean,PWB autonomy,0.436149870939273
28,LP2 well-being prediction,PWB,autonomy,WBP028,6,3,0,mean,PWB autonomy,1.00111761980214
29,LP2 well-being prediction,PWB,autonomy,WBP029,4.33333333333333,3,0,mean,PWB autonomy,-0.411301752355031
30,LP2 well-being prediction,PWB,autonomy,WBP030,1.66666666666667,3,0,mean,PWB autonomy,-2.6711727478065
31,LP2 well-being prediction,PWB,autonomy,WBP031,5.33333333333333,3,0,mean,PWB autonomy,0.436149870939273
32,LP2 well-being prediction,PWB,autonomy,WBP032,4.33333333333333,3,0,mean,PWB autonomy,-0.411301752355031
33,LP2 well-being prediction,PWB,autonomy,WBP033,5.66666666666667,3,0,mean,PWB autonomy,0.718633745370712
34,LP2 well-being prediction,PWB,autonomy,WBP034,5.66666666666667,3,0,mean,PWB autonomy,0.718633745370712
35,LP2 well-being prediction,PWB,autonomy,WBP035,4.33333333333333,3,0,mean,PWB autonomy,-0.411301752355031
36,LP2 well-being prediction,PWB,autonomy,WBP036,6.33333333333333,3,0,mean,PWB autonomy,1.28360149423358
37,LP2 well-being prediction,PWB,autonomy,WBP037,4.66666666666667,3,0,mean,PWB autonomy,-0.128817877923591
38,LP2 well-being prediction,PWB,autonomy,WBP038,5,3,0,mean,PWB autonomy,0.153665996507841
39,LP2 well-being prediction,PWB,autonomy,WBP039,4,3,0,mean,PWB autonomy,-0.693785626786462
40,LP2 well-being prediction,PWB,autonomy,WBP040,4,3,0,mean,PWB autonomy,-0.693785626786462
41,LP2 well-being prediction,PWB,autonomy,WBP041,6,3,0,mean,PWB autonomy,1.00111761980214
42,LP2 well-being prediction,PWB,autonomy,WBP042,6.66666666666667,3,0,mean,PWB autonomy,1.56608536866502
43,LP2 well-being prediction,PWB,autonomy,WBP043,5.33333333333333,3,0,mean,PWB autonomy,0.436149870939273
44,LP2 well-being prediction,PWB,autonomy,WBP044,3,3,0,mean,PWB autonomy,-1.54123725008077
45,LP2 well-being prediction,PWB,autonomy,WBP045,3.66666666666667,3,0,mean,PWB autonomy,-0.976269501217894
46,LP2 well-being prediction,PWB,autonomy,WBP046,5.66666666666667,3,0,mean,PWB autonomy,0.718633745370712
47,LP2 well-being prediction,PWB,autonomy,WBP047,5.66666666666667,3,0,mean,PWB autonomy,0.718633745370712
48,LP2 well-being prediction,PWB,autonomy,WBP048,5.33333333333333,3,0,mean,PWB autonomy,0.436149870939273
49,LP2 well-being prediction,PWB,autonomy,WBP049,7,6,0,mean,PWB autonomy,1.84856924309645
50,LP2 well-being prediction,PWB,autonomy,WBP050,4,3,0,mean,PWB autonomy,-0.693785626786462
51,LP2 well-being prediction,PWB,autonomy,WBP051,4.66666666666667,3,0,mean,PWB autonomy,-0.128817877923591
52,LP2 well-being prediction,PWB,autonomy,WBP052,3,3,0,mean,PWB autonomy,-1.54123725008077
53,LP2 well-being prediction,PWB,autonomy,WBP053,3.66666666666667,3,0,mean,PWB autonomy,-0.976269501217894
54,LP2 well-being prediction,PWB,autonomy,WBP054,6.33333333333333,3,0,mean,PWB autonomy,1.28360149423358
55,LP2 well-being prediction,PWB,autonomy,WBP055,3.33333333333333,3,0,mean,PWB autonomy,-1.25875337564933
56,LP2 well-being prediction,PWB,autonomy,WBP056,6,3,0,mean,PWB autonomy,1.00111761980214
57,LP2 well-being prediction,PWB,autonomy,WBP057,2.33333333333333,3,0,mean,PWB autonomy,-2.10620499894364
58,LP2 well-being prediction,PWB,autonomy,WBP058,5.66666666666667,3,0,mean,PWB autonomy,0.718633745370712
59,LP2 well-being prediction,PWB,autonomy,WBP059,4.66666666666667,3,0,mean,PWB autonomy,-0.128817877923591
60,LP2 well-being prediction,PWB,autonomy,WBP060,4.33333333333333,3,0,mean,PWB autonomy,-0.411301752355031
61,LP2 well-being prediction,PWB,autonomy,WBP061,2.66666666666667,3,0,mean,PWB autonomy,-1.8237211245122
62,LP2 well-being prediction,PWB,autonomy,WBP062,5,3,0,mean,PWB autonomy,0.153665996507841
63,LP2 well-being prediction,PWB,autonomy,WBP063,3.33333333333333,3,0,mean,PWB autonomy,-1.25875337564933
64,LP2 well-being prediction,PWB,autonomy,WBP064,4.33333333333333,3,0,mean,PWB autonomy,-0.411301752355031
65,LP2 well-being prediction,PWB,autonomy,WBP065,6.33333333333333,3,0,mean,PWB autonomy,1.28360149423358
66,LP2 well-being prediction,PWB,autonomy,WBP066,5.33333333333333,3,0,mean,PWB autonomy,0.436149870939273
67,LP2 well-being prediction,PWB,autonomy,WBP067,3.33333333333333,3,0,mean,PWB autonomy,-1.25875337564933
68,LP2 well-being prediction,PWB,autonomy,WBP068,5,3,0,mean,PWB autonomy,0.153665996507841
69,LP2 well-being prediction,PWB,autonomy,WBP069,4.33333333333333,3,0,mean,PWB autonomy,-0.411301752355031
70,LP2 well-being prediction,PWB,autonomy,WBP070,4.33333333333333,3,0,mean,PWB autonomy,-0.411301752355031
71,LP2 well-being prediction,PWB,autonomy,WBP071,5,3,0,mean,PWB autonomy,0.153665996507841
72,LP2 well-being prediction,PWB,autonomy,WBP072,5,3,0,mean,PWB autonomy,0.153665996507841
73,LP2 well-being prediction,PWB,autonomy,WBP073,5,3,0,mean,PWB autonomy,0.153665996507841
74,LP2 well-being prediction,PWB,autonomy,WBP074,3.66666666666667,3,0,mean,PWB autonomy,-0.976269501217894
75,LP2 well-being prediction,PWB,autonomy,WBP075,6.33333333333333,3,0,mean,PWB autonomy,1.28360149423358
76,LP2 well-being prediction,PWB,autonomy,WBP076,4.66666666666667,3,0,mean,PWB autonomy,-0.128817877923591
77,LP2 well-being prediction,PWB,autonomy,WBP077,5.66666666666667,3,0,mean,PWB autonomy,0.718633745370712
78,LP2 well-being prediction,PWB,autonomy,WBP078,5.66666666666667,3,0,mean,PWB autonomy,0.718633745370712
79,LP2 well-being prediction,PWB,autonomy,WBP079,1,3,0,mean,PWB autonomy,-3.23614049666937
80,LP2 well-being prediction,PWB,autonomy,WBP080,3.66666666666667,3,0,mean,PWB autonomy,-0.976269501217894
81,LP2 well-being prediction,PWB,autonomy,WBP081,5,3,0,mean,PWB autonomy,0.153665996507841
82,LP2 well-being prediction,PWB,autonomy,WBP082,3,3,0,mean,PWB autonomy,-1.54123725008077
83,LP2 well-being prediction,PWB,autonomy,WBP083,3.66666666666667,3,0,mean,PWB autonomy,-0.976269501217894
84,LP2 well-being prediction,PWB,autonomy,WBP084,5.33333333333333,3,0,mean,PWB autonomy,0.436149870939273
85,LP2 well-being prediction,PWB,autonomy,WBP085,6,3,0,mean,PWB autonomy,1.00111761980214
86,LP2 well-being prediction,PWB,autonomy,WBP086,6,3,0,mean,PWB autonomy,1.00111761980214
87,LP2 well-being prediction,PWB,autonomy,WBP087,6.33333333333333,3,0,mean,PWB autonomy,1.28360149423358
88,LP2 well-being prediction,PWB,autonomy,WBP088,4.66666666666667,3,0,mean,PWB autonomy,-0.128817877923591
89,LP2 well-being prediction,PWB,autonomy,WBP089,6.33333333333333,3,0,mean,PWB autonomy,1.28360149423358
90,LP2 well-being prediction,PWB,autonomy,WBP090,4.66666666666667,3,0,mean,PWB autonomy,-0.128817877923591
91,LP2 well-being prediction,PWB,autonomy,WBP091,6.33333333333333,3,0,mean,PWB autonomy,1.28360149423358
92,LP2 well-being prediction,PWB,autonomy,WBP092,3.66666666666667,3,0,mean,PWB autonomy,-0.976269501217894
93,LP2 well-being prediction,PWB,autonomy,WBP093,3.66666666666667,3,0,mean,PWB autonomy,-0.976269501217894
94,LP2 well-being prediction,PWB,autonomy,WBP094,3.66666666666667,3,0,mean,PWB autonomy,-0.976269501217894
95,LP2 well-being prediction,PWB,autonomy,WBP095,4.66666666666667,6,0,mean,PWB autonomy,-0.128817877923591
96,LP2 well-being prediction,PWB,autonomy,WBP096,3.33333333333333,3,0,mean,PWB autonomy,-1.25875337564933
97,LP2 well-being prediction,PWB,autonomy,WBP097,5,3,0,mean,PWB autonomy,0.153665996507841
98,LP2 well-being prediction,PWB,autonomy,WBP098,6.16666666666667,6,0,mean,PWB autonomy,1.14235955701786
99,LP2 well-being prediction,PWB,autonomy,WBP099,5,3,0,mean,PWB autonomy,0.153665996507841
100,LP2 well-being prediction,PWB,autonomy,WBP100,5.66666666666667,3,0,mean,PWB autonomy,0.718633745370712
101,LP2 well-being prediction,PWB,autonomy,WBP101,5,3,0,mean,PWB autonomy,0.153665996507841
102,LP2 well-being prediction,PWB,autonomy,WBP102,3.33333333333333,3,0,mean,PWB autonomy,-1.25875337564933
103,LP2 well-being prediction,PWB,autonomy,WBP103,3.83333333333333,6,0,mean,PWB autonomy,-0.835027564002183
104,LP2 well-being prediction,PWB,autonomy,WBP104,4,3,0,mean,PWB autonomy,-0.693785626786462
105,LP2 well-being prediction,PWB,autonomy,WBP105,3.33333333333333,3,0,mean,PWB autonomy,-1.25875337564933
106,LP2 well-being prediction,PWB,autonomy,WBP106,5,3,0,mean,PWB autonomy,0.153665996507841
107,LP2 well-being prediction,PWB,autonomy,WBP107,4.33333333333333,3,0,mean,PWB autonomy,-0.411301752355031
108,LP2 well-being prediction,PWB,autonomy,WBP108,4,3,0,mean,PWB autonomy,-0.693785626786462
109,LP2 well-being prediction,PWB,autonomy,WBP109,3,3,0,mean,PWB autonomy,-1.54123725008077
110,LP2 well-being prediction,PWB,autonomy,WBP110,3.33333333333333,6,0,mean,PWB autonomy,-1.25875337564933
111,LP2 well-being prediction,PWB,autonomy,WBP111,6.66666666666667,6,0,mean,PWB autonomy,1.56608536866502
112,LP2 well-being prediction,PWB,autonomy,WBP112,3.66666666666667,3,0,mean,PWB autonomy,-0.976269501217894
113,LP2 well-being prediction,PWB,autonomy,WBP113,4.66666666666667,3,0,mean,PWB autonomy,-0.128817877923591
114,LP2 well-being prediction,PWB,autonomy,WBP114,5,3,0,mean,PWB autonomy,0.153665996507841
115,LP2 well-being prediction,PWB,autonomy,WBP115,6.33333333333333,3,0,mean,PWB autonomy,1.28360149423358
116,LP2 well-being prediction,PWB,autonomy,WBP116,4.33333333333333,3,0,mean,PWB autonomy,-0.411301752355031
117,LP2 well-being prediction,PWB,autonomy,WBP117,6.33333333333333,3,0,mean,PWB autonomy,1.28360149423358
118,LP2 well-being prediction,PWB,autonomy,WBP118,4.33333333333333,3,0,mean,PWB autonomy,-0.411301752355031
119,LP2 well-being prediction,PWB,autonomy,WBP119,5,3,0,mean,PWB autonomy,0.153665996507841
120,LP2 well-being prediction,PWB,autonomy,WBP120,4,3,0,mean,PWB autonomy,-0.693785626786462
121,LP2 well-being prediction,PWB,autonomy,WBP121,5.66666666666667,3,0,mean,PWB autonomy,0.718633745370712
122,LP2 well-being prediction,PWB,autonomy,WBP122,4.66666666666667,3,0,mean,PWB autonomy,-0.128817877923591
123,LP2 well-being prediction,PWB,autonomy,WBP123,4.66666666666667,3,0,mean,PWB autonomy,-0.128817877923591
124,LP2 well-being prediction,PWB,autonomy,WBP124,7,3,0,mean,PWB autonomy,1.84856924309645
125,LP2 well-being prediction,PWB,autonomy,WBP125,3.33333333333333,3,0,mean,PWB autonomy,-1.25875337564933
126,LP2 well-being prediction,PWB,autonomy,WBP126,6.33333333333333,3,0,mean,PWB autonomy,1.28360149423358
127,LP2 well-being prediction,PWB,autonomy,WBP127,6,3,0,mean,PWB autonomy,1.00111761980214
128,LP2 well-being prediction,PWB,autonomy,WBP128,5.33333333333333,3,0,mean,PWB autonomy,0.436149870939273
129,LP2 well-being prediction,PWB,autonomy,WBP129,6.66666666666667,3,0,mean,PWB autonomy,1.56608536866502
130,LP2 well-being prediction,PWB,autonomy,WBP130,4.33333333333333,3,0,mean,PWB autonomy,-0.411301752355031
131,LP2 well-being prediction,PWB,autonomy,WBP131,4,3,0,mean,PWB autonomy,-0.693785626786462
132,LP2 well-being prediction,PWB,autonomy,WBP132,6.33333333333333,3,0,mean,PWB autonomy,1.28360149423358
133,LP2 well-being prediction,PWB,autonomy,WBP133,5.33333333333333,3,0,mean,PWB autonomy,0.436149870939273
134,LP2 well-being prediction,PWB,autonomy,WBP134,7,3,0,mean,PWB autonomy,1.84856924309645
135,LP2 well-being prediction,PWB,autonomy,WBP135,4.33333333333333,3,0,mean,PWB autonomy,-0.411301752355031
136,LP2 well-being prediction,PWB,autonomy,WBP136,6,3,0,mean,PWB autonomy,1.00111761980214
137,LP2 well-being prediction,PWB,autonomy,WBP137,6,3,0,mean,PWB autonomy,1.00111761980214
138,LP2 well-being prediction,PWB,autonomy,WBP138,4.33333333333333,3,0,mean,PWB autonomy,-0.411301752355031
139,LP2 well-being prediction,PWB,autonomy,WBP139,5.33333333333333,3,0,mean,PWB autonomy,0.436149870939273
140,LP2 well-being prediction,PWB,autonomy,WBP140,4.33333333333333,3,0,mean,PWB autonomy,-0.411301752355031
141,LP2 well-being prediction,PWB,autonomy,WBP141,5.33333333333333,3,0,mean,PWB autonomy,0.436149870939273
142,LP2 well-being prediction,PWB,autonomy,WBP142,5.33333333333333,3,0,mean,PWB autonomy,0.436149870939273
143,LP2 well-being prediction,PWB,autonomy,WBP143,2,3,0,mean,PWB autonomy,-2.38868887337507
144,LP2 well-being prediction,PWB,autonomy,WBP144,6,3,0,mean,PWB autonomy,1.00111761980214
145,LP2 well-being prediction,PWB,autonomy,WBP145,5.33333333333333,3,0,mean,PWB autonomy,0.436149870939273
146,LP2 well-being prediction,PWB,autonomy,WBP146,7,3,0,mean,PWB autonomy,1.84856924309645
147,LP2 well-being prediction,PWB,autonomy,WBP147,4.33333333333333,3,0,mean,PWB autonomy,-0.411301752355031
148,LP2 well-being prediction,PWB,autonomy,WBP148,6,3,0,mean,PWB autonomy,1.00111761980214
149,LP2 well-being prediction,PWB,autonomy,WBP149,4.33333333333333,3,0,mean,PWB autonomy,-0.411301752355031
150,LP2 well-being prediction,PWB,autonomy,WBP150,5.66666666666667,3,0,mean,PWB autonomy,0.718633745370712
151,LP2 well-being prediction,PWB,autonomy,WBP151,4.5,6,0,mean,PWB autonomy,-0.270059815139311
152,LP2 well-being prediction,PWB,autonomy,WBP152,4.66666666666667,3,0,mean,PWB autonomy,-0.128817877923591
153,LP2 well-being prediction,PWB,autonomy,WBP153,4.66666666666667,3,0,mean,PWB autonomy,-0.128817877923591
154,LP2 well-being prediction,PWB,autonomy,WBP154,4,3,0,mean,PWB autonomy,-0.693785626786462
155,LP2 well-being prediction,PWB,autonomy,WBP155,6,3,0,mean,PWB autonomy,1.00111761980214
156,LP2 well-being prediction,PWB,autonomy,WBP156,4.66666666666667,3,0,mean,PWB autonomy,-0.128817877923591
157,LP2 well-being prediction,PWB,autonomy,WBP157,3.33333333333333,3,0,mean,PWB autonomy,-1.25875337564933
158,LP2 well-being prediction,PWB,autonomy,WBP158,3.66666666666667,3,0,mean,PWB autonomy,-0.976269501217894
159,LP2 well-being prediction,PWB,autonomy,WBP159,4.33333333333333,3,0,mean,PWB autonomy,-0.411301752355031
160,LP2 well-being prediction,PWB,autonomy,WBP160,4.33333333333333,3,0,mean,PWB autonomy,-0.411301752355031
161,LP2 well-being prediction,PWB,autonomy,WBP161,4.66666666666667,3,0,mean,PWB autonomy,-0.128817877923591
162,LP2 well-being prediction,PWB,autonomy,WBP162,4,3,0,mean,PWB autonomy,-0.693785626786462
163,LP2 well-being prediction,PWB,autonomy,WBP163,3.66666666666667,3,0,mean,PWB autonomy,-0.976269501217894
164,LP2 well-being prediction,PWB,autonomy,WBP164,3.33333333333333,3,0,mean,PWB autonomy,-1.25875337564933
165,LP2 well-being prediction,PWB,autonomy,WBP165,4.33333333333333,3,0,mean,PWB autonomy,-0.411301752355031
166,LP2 well-being prediction,PWB,autonomy,WBP166,5.66666666666667,3,0,mean,PWB autonomy,0.718633745370712
167,LP2 well-being prediction,PWB,autonomy,WBP167,3.33333333333333,3,0,mean,PWB autonomy,-1.25875337564933
168,LP2 well-being prediction,PWB,autonomy,WBP168,4.66666666666667,3,0,mean,PWB autonomy,-0.128817877923591
169,LP2 well-being prediction,PWB,autonomy,WBP169,3,3,0,mean,PWB autonomy,-1.54123725008077
170,LP2 well-being prediction,PWB,autonomy,WBP170,7,3,0,mean,PWB autonomy,1.84856924309645
171,LP2 well-being prediction,PWB,autonomy,WBP171,5.33333333333333,3,0,mean,PWB autonomy,0.436149870939273
172,LP2 well-being prediction,PWB,autonomy,WBP172,4.66666666666667,3,0,mean,PWB autonomy,-0.128817877923591
173,LP2 well-being prediction,PWB,autonomy,WBP173,1.66666666666667,3,0,mean,PWB autonomy,-2.6711727478065
174,LP2 well-being prediction,PWB,autonomy,WBP174,5.33333333333333,3,0,mean,PWB autonomy,0.436149870939273
175,LP2 well-being prediction,PWB,autonomy,WBP175,4,3,0,mean,PWB autonomy,-0.693785626786462
176,LP2 well-being prediction,PWB,autonomy,WBP176,4.66666666666667,3,0,mean,PWB autonomy,-0.128817877923591
177,LP2 well-being prediction,PWB,autonomy,WBP177,4.66666666666667,3,0,mean,PWB autonomy,-0.128817877923591
178,LP2 well-being prediction,PWB,autonomy,WBP178,3.66666666666667,3,0,mean,PWB autonomy,-0.976269501217894
179,LP2 well-being prediction,PWB,autonomy,WBP179,5,3,0,mean,PWB autonomy,0.153665996507841
180,LP2 well-being prediction,PWB,autonomy,WBP180,5.66666666666667,3,0,mean,PWB autonomy,0.718633745370712
181,LP2 well-being prediction,PWB,autonomy,WBP181,5,3,0,mean,PWB autonomy,0.153665996507841
182,LP2 well-being prediction,PWB,autonomy,WBP182,4.66666666666667,3,0,mean,PWB autonomy,-0.128817877923591
183,LP2 well-being prediction,PWB,autonomy,WBP183,5,3,0,mean,PWB autonomy,0.153665996507841
184,LP2 well-being prediction,PWB,autonomy,WBP184,2.66666666666667,3,0,mean,PWB autonomy,-1.8237211245122
185,LP2 well-being prediction,PWB,autonomy,WBP185,5,3,0,mean,PWB autonomy,0.153665996507841
186,LP2 well-being prediction,PWB,autonomy,WBP186,5.66666666666667,3,0,mean,PWB autonomy,0.718633745370712
187,LP2 well-being prediction,PWB,autonomy,WBP187,3.33333333333333,3,0,mean,PWB autonomy,-1.25875337564933
188,LP2 well-being prediction,PWB,autonomy,WBP188,4.16666666666667,6,0,mean,PWB autonomy,-0.552543689570743
189,LP2 well-being prediction,PWB,autonomy,WBP189,3.33333333333333,3,0,mean,PWB autonomy,-1.25875337564933
190,LP2 well-being prediction,PWB,autonomy,WBP190,6,3,0,mean,PWB autonomy,1.00111761980214
191,LP2 well-being prediction,PWB,autonomy,WBP191,4.33333333333333,3,0,mean,PWB autonomy,-0.411301752355031
192,LP2 well-being prediction,PWB,autonomy,WBP192,6.66666666666667,3,0,mean,PWB autonomy,1.56608536866502
193,LP2 well-being prediction,PWB,autonomy,WBP193,6.66666666666667,3,0,mean,PWB autonomy,1.56608536866502
194,LP2 well-being prediction,PWB,autonomy,WBP194,4.33333333333333,3,0,mean,PWB autonomy,-0.411301752355031
195,LP2 well-being prediction,PWB,autonomy,WBP195,4.33333333333333,3,0,mean,PWB autonomy,-0.411301752355031
196,LP2 well-being prediction,PWB,autonomy,WBP196,5.66666666666667,3,0,mean,PWB autonomy,0.718633745370712
197,LP2 well-being prediction,PWB,autonomy,WBP197,4.33333333333333,3,0,mean,PWB autonomy,-0.411301752355031
198,LP2 well-being prediction,PWB,autonomy,WBP198,6.33333333333333,3,0,mean,PWB autonomy,1.28360149423358
199,LP2 well-being prediction,PWB,autonomy,WBP199,4.33333333333333,3,0,mean,PWB autonomy,-0.411301752355031
200,LP2 well-being prediction,PWB,autonomy,WBP200,5,3,0,mean,PWB autonomy,0.153665996507841
201,LP2 well-being prediction,PWB,autonomy,WBP201,6.33333333333333,3,0,mean,PWB autonomy,1.28360149423358
202,LP2 well-being prediction,PWB,autonomy,WBP202,2.66666666666667,3,0,mean,PWB autonomy,-1.8237211245122
203,LP2 well-being prediction,PWB,autonomy,WBP203,6.33333333333333,3,0,mean,PWB autonomy,1.28360149423358
204,LP2 well-being prediction,PWB,autonomy,WBP204,6.33333333333333,3,0,mean,PWB autonomy,1.28360149423358
205,LP2 well-being prediction,PWB,autonomy,WBP205,2.33333333333333,3,0,mean,PWB autonomy,-2.10620499894364
206,LP2 well-being prediction,PWB,autonomy,WBP206,4.33333333333333,3,0,mean,PWB autonomy,-0.411301752355031
207,LP2 well-being prediction,PWB,autonomy,WBP207,6,3,0,mean,PWB autonomy,1.00111761980214
208,LP2 well-being prediction,PWB,autonomy,WBP208,5,3,0,mean,PWB autonomy,0.153665996507841
209,LP2 well-being prediction,PWB,autonomy,WBP209,3,3,0,mean,PWB autonomy,-1.54123725008077
210,LP2 well-being prediction,PWB,autonomy,WBP210,5.33333333333333,3,0,mean,PWB autonomy,0.436149870939273
211,LP2 well-being prediction,PWB,autonomy,WBP211,6.66666666666667,3,0,mean,PWB autonomy,1.56608536866502
212,LP2 well-being prediction,PWB,autonomy,WBP212,6,3,0,mean,PWB autonomy,1.00111761980214
213,LP2 well-being prediction,PWB,autonomy,WBP213,5.66666666666667,3,0,mean,PWB autonomy,0.718633745370712
214,LP2 well-being prediction,PWB,autonomy,WBP214,7,3,0,mean,PWB autonomy,1.84856924309645
215,LP2 well-being prediction,PWB,autonomy,WBP215,4,3,0,mean,PWB autonomy,-0.693785626786462
216,LP2 well-being prediction,PWB,autonomy,WBP216,7,3,0,mean,PWB autonomy,1.84856924309645
217,LP2 well-being prediction,PWB,environmental_mastery,WBP001,5,3,0,mean,PWB environmental_mastery,0.263120029195286
218,LP2 well-being prediction,PWB,environmental_mastery,WBP002,6,3,0,mean,PWB environmental_mastery,1.16049781297711
219,LP2 well-being prediction,PWB,environmental_mastery,WBP003,4.33333333333333,3,0,mean,PWB environmental_mastery,-0.335131826659263
220,LP2 well-being prediction,PWB,environmental_mastery,WBP004,5.33333333333333,3,0,mean,PWB environmental_mastery,0.562245957122557
221,LP2 well-being prediction,PWB,environmental_mastery,WBP005,4.33333333333333,3,0,mean,PWB environmental_mastery,-0.335131826659263
222,LP2 well-being prediction,PWB,environmental_mastery,WBP006,4.33333333333333,3,0,mean,PWB environmental_mastery,-0.335131826659263
223,LP2 well-being prediction,PWB,environmental_mastery,WBP007,3.66666666666667,3,0,mean,PWB environmental_mastery,-0.933383682513804
224,LP2 well-being prediction,PWB,environmental_mastery,WBP008,6.33333333333333,3,0,mean,PWB environmental_mastery,1.45962374090438
225,LP2 well-being prediction,PWB,environmental_mastery,WBP009,5,3,0,mean,PWB environmental_mastery,0.263120029195286
226,LP2 well-being prediction,PWB,environmental_mastery,WBP010,6.33333333333333,3,0,mean,PWB environmental_mastery,1.45962374090438
227,LP2 well-being prediction,PWB,environmental_mastery,WBP011,4.66666666666667,3,0,mean,PWB environmental_mastery,-0.0360058987319842
228,LP2 well-being prediction,PWB,environmental_mastery,WBP012,5.66666666666667,3,0,mean,PWB environmental_mastery,0.861371885049836
229,LP2 well-being prediction,PWB,environmental_mastery,WBP013,5,3,0,mean,PWB environmental_mastery,0.263120029195286
230,LP2 well-being prediction,PWB,environmental_mastery,WBP014,5,3,0,mean,PWB environmental_mastery,0.263120029195286
231,LP2 well-being prediction,PWB,environmental_mastery,WBP015,4,3,0,mean,PWB environmental_mastery,-0.634257754586534
232,LP2 well-being prediction,PWB,environmental_mastery,WBP016,4.66666666666667,6,0,mean,PWB environmental_mastery,-0.0360058987319842
233,LP2 well-being prediction,PWB,environmental_mastery,WBP017,5,3,0,mean,PWB environmental_mastery,0.263120029195286
234,LP2 well-being prediction,PWB,environmental_mastery,WBP018,4,3,0,mean,PWB environmental_mastery,-0.634257754586534
235,LP2 well-being prediction,PWB,environmental_mastery,WBP019,6,3,0,mean,PWB environmental_mastery,1.16049781297711
236,LP2 well-being prediction,PWB,environmental_mastery,WBP020,5.66666666666667,3,0,mean,PWB environmental_mastery,0.861371885049836
237,LP2 well-being prediction,PWB,environmental_mastery,WBP021,2.66666666666667,3,0,mean,PWB environmental_mastery,-1.83076146629562
238,LP2 well-being prediction,PWB,environmental_mastery,WBP022,6,6,0,mean,PWB environmental_mastery,1.16049781297711
239,LP2 well-being prediction,PWB,environmental_mastery,WBP023,5.33333333333333,3,0,mean,PWB environmental_mastery,0.562245957122557
240,LP2 well-being prediction,PWB,environmental_mastery,WBP024,5.33333333333333,6,0,mean,PWB environmental_mastery,0.562245957122557
241,LP2 well-being prediction,PWB,environmental_mastery,WBP025,3.66666666666667,3,0,mean,PWB environmental_mastery,-0.933383682513804
242,LP2 well-being prediction,PWB,environmental_mastery,WBP026,6.33333333333333,3,0,mean,PWB environmental_mastery,1.45962374090438
